,accuracy,formatted_address,google_place_id,input_string,latitude,longitude,number_of_results,postcode,status,type
26,GEOMETRIC_CENTER,"Namche Bazar, Namche VDC 56000, Nepal",ChIJ1Z_Fl9oI6TkRvYIcAHQFG_k,"Namche Bazar, Khumbu",27.8047709,86.7102804,1,56000,OK,"establishment,food,lodging,point_of_interest,restaurant"
27,APPROXIMATE,"Manchester, UK",ChIJ2_UmUkxNekgRqmv-BDgUvtk,"Manchester, England",53.4807593,-2.2426305,1,,OK,"locality,political"
28,APPROXIMATE,"1854 Leysin, Switzerland",ChIJuVcWB2KWjkcRa7GoxcqlE6I,"Leysin, Vaud, Switzerland",46.3435634,7.012033,1,1854,OK,"locality,political"
29,APPROXIMATE,"Nottingham, UK",ChIJzXkHOdIyeEgRFdsZGSBjgBA,"Nottingham, E Midlands, England",52.9547832,-1.1581086,1,,OK,"locality,political"
30,APPROXIMATE,"Khumbu Glacier, Khumjung 56000, Nepal",ChIJH3KzaOWr6TkRHAp3LqlCPHs,"Khumjung, Khumbu",27.9720199,86.8308194,2,56000,OK,"establishment,natural_feature"
31,APPROXIMATE,"Manchester, UK",ChIJ2_UmUkxNekgRqmv-BDgUvtk,"Manchester, England",53.4807593,-2.2426305,1,,OK,"locality,political"
32,APPROXIMATE,"Birmingham, UK",ChIJc3FBGy2UcEgRmHnurvD-gco,"Birmingham, Enlgand",52.486243,-1.890401,1,,OK,"locality,political"
33,APPROXIMATE,"Vashon, WA 98070, USA",ChIJMd3s0n1PkFQR7GWGp6I0uB8,"Vashon, Washington",47.4473204,-122.4598502,1,98070,OK,"locality,political"
34,APPROXIMATE,"Boulder, CO, USA",ChIJ06-NJ06Na4cRWIAboHw7Ocg,"Boulder, Colorado",40.0149856,-105.2705456,1,,OK,"locality,political"
35,APPROXIMATE,"Jeonju-si, Jeollabuk-do, South Korea",ChIJY9gWA0MjcDURmkLDkeAXvMc,"Jeonju , Jeollabuk, S Korea",35.8242238,127.1479532,1,,OK,"locality,political"
36,GEOMETRIC_CENTER,"Namche Bazar, Namche VDC 56000, Nepal",ChIJ1Z_Fl9oI6TkRvYIcAHQFG_k,"Namche Bazar, Khumbu",27.8047709,86.7102804,1,56000,OK,"establishment,food,lodging,point_of_interest,restaurant"
37,,,,"Guemlinge, Bern, Switzerland",,,0,,ZERO_RESULTS,
38,APPROXIMATE,"83666 Waakirchen, Germany",ChIJr35IwfCSnUcRgKA3CaQlHQQ,"Waakirchen, Bavaria, W Germany",47.7727065,11.6729901,1,83666,OK,"locality,political"
39,APPROXIMATE,"82467 Garmisch-Partenkirchen, Germany",ChIJKTOKk2ABnUcRgJyL161IHgQ,"Garmisch-Partenkirchen, Bavaria, W Germany",47.4916945,11.0954984,1,82467,OK,"locality,political"
40,APPROXIMATE,"Neu-Ulm, Germany",ChIJPRlcsfJmmUcRqw5F4zBnSWw,"Neu-Ulm, Bavaria , W Germany",48.3906042,10.0060398,1,,OK,"locality,political"
41,APPROXIMATE,"82467 Garmisch-Partenkirchen, Germany",ChIJKTOKk2ABnUcRgJyL161IHgQ,"Garmisch-Partenkirchen, Bavaria, W Germany",47.4916945,11.0954984,1,82467,OK,"locality,political"
42,APPROXIMATE,"Karlsruhe, Germany",ChIJCXjgokgGl0cRf-63THNV_LY,"Karlsruhe, Baden-Wuerttemberg, W Germany",49.0068901,8.4036527,1,,OK,"locality,political"
43,GEOMETRIC_CENTER,"89077 Ulm, Germany",ChIJO_9dkzhkmUcR_uPsF5VTUw0,"Ulm-Soeflingen, Baden-Wuerttemberg, W Germany",48.395094,9.954927,1,89077,OK,"establishment,point_of_interest,transit_station"
