,PEAKID,PKNAME,PKNAME2,LOCATION,HEIGHTM,HEIGHTF,HIMAL,REGION,OPEN,UNLISTED,TREKKING,TREKYEAR,RESTRICT,PHOST,PSTATUS,PEAKMEMO,PYEAR,PSEASON,PEXPID,PSMTDATE,PCOUNTRY,PSUMMITERS,PSMTNOTE,REFERMEMO,PHOTOMEMO,firstsummitdate,Unnamed: 0,accuracy,formatted_address,google_place_id,latitude,longitude,number_of_results,postcode,status,type
322,LUGU,Lugula,,Damodar Himal (E of Bhrikuti Sail on Tibetan border),6899,22635,3,5,True,False,False,,Opened in 2014,4,2,,2010,3,LUGU10301,Nov 02,France,Renald Guillaune,1st official ascent in Spring 2014 by S Koreans,,,Nov 02 2010,322,,,,28.896111,84.261667,0,,ZERO_RESULTS,
323,BHRS,Bhrikuti Shail,,Damodar Himal (NE of Thorong La on Tibetan border),6361,20869,3,5,True,False,False,,,4,2,,2005,1,BHRS05101,May 16,"France, Nepal","Paulo Grobel, Denis Flaven, Bikram Singh",,,,May 16 2005,323,,,,28.898,84.201,0,,ZERO_RESULTS,
324,MYAG,Myagdi Matha,,Dhaulagiri Himal (S of Dhaulagiri IV),6273,20581,4,6,False,True,False,,,1,1,,0,0,,,,Unclimbed?,,,,,324,,,,28.6642,83.323,0,,ZERO_RESULTS,
325,TOBS,Tobsar,Tabsar,Shringi Himal (ENE of Chamar),6065,19898,5,4,True,False,False,,Opened in 2002,1,1,,0,0,,,,Unclimbed,,,,,325,APPROXIMATE,"09133 Tobar, Burgos, Spain",ChIJ8as4eoenSA0RvLdlhmyc4UE,28.594722,85.005278,1,09133,OK,"locality,political"
326,DINS,Dingjung Ri,Dingjung Ri South,Rolwaling Himal (S of Pangbuk Ri on Tibetan border),6196,20328,19,2,True,False,False,,Opened in 2002,4,2,,2008,1,DINS08101,Mar 15,Japan,"Kenro Nakajima, Hiroki Yamamoto",1st known ascent (may be others earlier),,,Mar 15 2008,326,,,,27.973056,86.523333,0,,ZERO_RESULTS,
327,DUDH,Dudh Kundali,"Dui Tal Chuli, Two Lakes Peak",Jagdula Lekh (S of Kanjiroba Himal),6045,19833,10,7,True,False,False,,,1,2,,1953,3,DUDH53301,Nov,"Austria, Nepal, India","Herbert Tichy, Ajiba Sherpa, Gyalzen Sherpa, Pasang Dawa Lama, Pemba Sherpa",,,,Nov 1953,327,ROOFTOP,"2206, Kamshet - Kundali Rd, Kamshet, Maharashtra 410405, India",ChIJyeSbq3eswjsRMCmnXHNLcHc,29.223889,82.545556,1,410405,OK,"establishment,food,point_of_interest"
328,KAGA,Kanta Gaton,Kangfu Gaton,Kanjiroba Himal (SE of Phoksumdo Tal),5910,19390,10,7,True,False,False,,Opened in 2002,1,2,,2009,2,KAGA09201,Aug 16,"France, Nepal","Jean-Rene Minelli, Abel Minelli, Eienne Minelli, Sarah Minelli, Pemba Jangbu Sherpa",1st official ascent,,,Aug 16 2009,328,,,,29.103333,82.995833,0,,ZERO_RESULTS,
329,KAPT,Kaptang,,Kanti Himal (NW of Kanti Himal peak on Tibetan border),5965,19570,11,7,True,False,False,,Opened in 2002,4,2,,2009,3,KAPT09201,Jun 09,"Japan, Nepal","Tamotsu Ohnishi, Toshitsugi Irizawa, Gombu Sherpa",,,,Jun 09 2009,329,GEOMETRIC_CENTER,"By Pass Road, Dhorra By Pass, Dhaurra Mafi, Dhorra, Jamalpur Ka Nagla, Aligarh, Uttar Pradesh 202001, India",ChIJkbp4ECKldDkR9qOT0gzoAUk,29.926389,82.575556,1,202001,OK,"establishment,food,point_of_interest,store"
330,ROMA,Roma,,Saipal Himal (SW of Saipal),5407,17740,20,7,True,False,False,,Delisted in 2014,1,1,,0,0,,,,Unclimbed?,,,,,330,ROOFTOP,"6027 S Sheridan Rd, Tulsa, OK 74145, USA",ChIJbfDRLYeStocR8hu2AF1Lxqk,29.798611,81.345278,1,74145,OK,"establishment,food,point_of_interest,restaurant"
331,RIPI,Ripimo Shar,"Khang Karpo, Kang Karpo",Rolwaling Himal (S of Dingjung Ri on Tibetan border),6647,21808,19,2,True,False,False,,Opened in 2014 (as Khang Karpo),4,2,,1952,1,RIPI52101,May 29,UK,"Tom Bourdillon, Ray Colledge",,,,May 29 1952,331,,,,27.873056,86.518056,0,,ZERO_RESULTS,
