,accuracy,formatted_address,google_place_id,input_string,latitude,longitude,number_of_results,postcode,status,type
209,APPROXIMATE,"39047 Santa Cristina Gherdëina, Province of Bolzano - South Tyrol, Italy",ChIJYUwhGGQTeEcRrAudQE6BuUM,"Santa Cristina, Bolzano, Italy",46.5681399,11.7192798,1,39047,OK,"administrative_area_level_3,political"
210,APPROXIMATE,"Angers, France",ChIJnY7lANp4CEgRMJwNHlI3DQQ,"Angers, Maine-et-Loire, France",47.478419,-0.563166,1,,OK,"locality,political"
211,APPROXIMATE,"Angers, France",ChIJnY7lANp4CEgRMJwNHlI3DQQ,"Angers, Maine-et-Loire, France",47.478419,-0.563166,1,,OK,"locality,political"
212,APPROXIMATE,"Grenoble, France",ChIJb76J1ov0ikcRmFOZbs0QjGE,"Grenoble, Isere, France",45.188529,5.724524,1,,OK,"locality,political"
213,APPROXIMATE,"6167 Neustift im Stubaital, Austria",ChIJmfb49MZGnUcRpjEyedj1Tg4,"Neustift, Tirol, Austria",47.1090461,11.3052459,1,6167,OK,"locality,political"
214,APPROXIMATE,"Bagnes, Switzerland",ChIJS_06NYrUjkcRs6zj5Gcv8dU,"Bagnes, Valais, Switzerland",46.07173,7.22404,1,,OK,"locality,political"
215,APPROXIMATE,"Salvan, Switzerland",ChIJPdzsXiexjkcRDDmzWB5WFok,"Salvan, Valais, Switzerland",46.1200551,7.0202955,1,,OK,"locality,political"
216,APPROXIMATE,"Turin, Metropolitan City of Turin, Italy",ChIJJb4YZBJtiEcRv3ec1gP4A4k,"Torino, Italy",45.070312,7.6868565,1,,OK,"locality,political"
217,,,,"Hillivol, Denmark",,,0,,ZERO_RESULTS,
218,APPROXIMATE,"39030 Mareo, Province of Bolzano - South Tyrol, Italy",ChIJZzFKi_0ieEcReiyF0lIeT8o,"Marebbe, Bolzano, Italy",46.6377536,12.033979,1,39030,OK,"administrative_area_level_3,political"
219,APPROXIMATE,"Essonne, France",ChIJH3mvlvjP5UcRMCuLaMOCCwM,"Essonne, France",48.4585698,2.1569416,1,,OK,"administrative_area_level_2,political"
