,PKNAME,LOCATION,HEIGHTM,HIMAL,PYEAR,PSUMMITERS,firstsummitdate,latitude,longitude
52,Ganesh VI,Ganesh Himal (subpeak SE of Ganesh II),6908,5,2000,"Osamu Tanabe, Yasuhiro Hanatani",May 23 2000,28.371,85.062
53,Ganchenpo,Jugal Himal (W of Dorje Lhakpa and Urkinmang),6378,8,1971,"Terry Bech, Cheri Bech",OctNov 1971,28.168889,85.681944
54,Gandharva Chuli,Annapurna Himal (SSW of Annapurna III near Machhapuchhare),6248,1,2013,"Cosmin Andron, Christina Pogacean",May 06 2013,28.53833,83.96
55,Gangapurna,Annapurna Himal (NW of Annapurna III),7455,1,1965,"Gunter Hauser, Ludwig Greissl, Hermann Kollensperger, Erich Reismueller, Ang Temba Sherpa, Phu Dorje Sherpa",May 06 1965,28.605,83.9633333
56,Gaurishankar,Rolwaling Himal (on Tibetan border),7135,19,1979,"John Roskelley, Dorje Sherpa",May 08 1979,27.95,86.3333333
57,Ghustang North,Dhaulagiri Himal (WNW of Gurja Himal),6529,4,1962,"J.O.M. Roberts, Ang Pema Sherpa, Nawang Dorje Sherpa",Oct 22 1962,28.680556,83.247778
58,Ghustang South,Dhaulagiri Himal (WSW of Gurja Himal),6465,4,0,Unclimbed,,28.672222,83.246389
59,Matathumba,Jagdula Lekh (S of Kanjiroba Himal),5767,10,1961,"John Tyson, James Burnet, John Earle, Mingma Tsering, Ang Temba Sherpa",May 16 1961,,
60,Ghyuthumba Main,Jagdula Lekh (S of Kanjiroba Himal),5806,10,1953,"Herbert Tichy, Ajiba Sherpa, Gyalzen Sherpa, Pasang Dawa Lama, Pemba Sherpa",Nov 1953,,
61,Gimmigela Chuli East,Kangchenjunga Himal (N of Kangchenjunga on Indian border),7007,9,1993,"Hideo Koike, Masanori Sato, Taro Tanigawa, Chuldin Sherpa, Pasang Nima Sherpa, Phurba Sherpa",Oct 09 1993,27.733333,88.15
62,Gimmigela Chuli,Kangchenjunga Himal (N of Kangchenjunga on Indian border),7350,9,1994,"Shigeru Yokokuwa, Dawa Wangchuk Sherpa, Pasang Gyalzen Sherpa, Pasang Tenzing Sherpa",Oct 29 1994,27.733333,88.15
63,Glacier Dome,Annapurna Himal (E of Annapurna I),7069,1,1964,"Mitsuhiro Nishimura, Dorje Sherpa",Oct 16 1964,28.390278,83.891111
64,Gurja Himal,Dhaulagiri Himal (S of Dhaulagiri VI),7193,4,1969,"Tomokuni Saeki, Lhakpa Tenzing Sherpa",Nov 01 1969,28.6666667,83.3
65,Gurkarpo Ri,Jugal Himal (N of Dorje Lhakpa on Tibetan border),6889,8,2007,"Paul Grobel, Pierre-Olivier Dupuy, Marc Kia, Jean Francois Males",Nov 01 2007,28.2091666,85.775
66,Gyachung Kang,Khumbu Himal (E of Cho Oyu on Tibetan border),7861,12,1964,"Yukihiko Kato, Kiyoto Sakaizawa, Pasang Phutar Sherpa (I)",Apr 10 1964,28.098056,86.742222
67,Gyajikang,Peri Himal (SW of Himlung Himal),7074,18,1994,"Toshisada Hasegawa, Yousuke Kokubo, Osamu Tanabe, Ram Kaji Sivakoti, Pasang Tshering Sherpa, Dambar Bahadur Gurung",Oct 07 1994,28.735,84.36778
68,Leonpo Gang East,Jugal Himal (NE of Leonpo Gang on Tibetan border),6733,8,1955,"Monica Jackson, Elizabeth Stark, Mingma Gyalgen Sherpa, Ang Temba Sherpa",May 11 1955,,
69,Himalchuli East,Mansiri Himal (SE of Manaslu),7893,15,1960,"Masahiro Harada, Hisashi Tanabe",May 24 1960,28.435556,84.642222
70,Himlung Himal,Peri Himal (NW of Manaslu near Tibetan border),7126,18,1992,"Osamu Hanai, Akio Koizumi, Nima Sherpa",Oct 03 1992,28.7716666,84.4225
71,Himalchuli North,"Mansiri Himal (SE of Manaslu, WNW of Himalchuli Main)",7331,15,1985,"Lee Jae-Hong, Ang Pasang Sherpa, Jangbu Sherpa, Lhakpa Norbu Sherpa, Pasang Dawa Sherpa",Oct 27 1985,28.449722,84.606389
72,Rani Peak,"Mansiri Himal (SE of Manaslu, NE of Himalchuli Main)",6693,15,1970,"Herman Tollenaar, Ang Phurba Sherpa, Mingma Tsering Sherpa, Nima Dorje Sherpa",May 05 1970,,
73,Himalchuli West,"Mansiri Himal (SE of Manaslu, W of Himalchuli Main)",7540,15,1978,"Yoshio Ogata, Kazuhiro Sugeno",May 07 1978,28.435278,84.618611
74,Hiunchuli,Annapurna Himal (E of Annapurna South),6434,1,1971,"Craig Anderson, Peter Cross, Jim Richards, John Skow, Lane Smith",Oct 10 1971,28.5106334,83.8480566
75,Hongku Chuli,"Khumbu Himal (in Hongku Valley, NE of Chamlang)",6833,12,0,Unclimbed,,27.8175,87.0091666
76,Hongde,Mukut Himal (N of Sita Chuchura in Hidden Valley),6556,16,1962,"Shijiro Ishizaka, Zenkichi Hirayama, Takashi Miyahara, Ang Dawa Sherpa, Ang Temba Sherpa",May 08 1962,28.84528,83.4875
77,Imjatse,Khumbu Himal (S of Lhotse),6165,12,1956,"Hansrudolf Von Gunten, 2 unknown Sherpas",,27.9241989,86.9373035
78,Jagdula,Kanjiroba Himal (S of Kande Hiunchuli),5761,10,2013,Francois Damilano,Apr 30 2013,29.326944,82.591944
79,Jannu,Kangchenjunga Himal (W of Kangchenjunga),7711,9,1962,"Rene Desmaison, Paul Keller, Robert Paragot, Gyalzen Mitchung Sherpa",Apr 27 1962,27.6816666,88.0441666
80,Jethi Bahurani,Api Himal (S of Nampa and Bobaye),6850,2,1978,"Kazuo Mitsui, Nobuhito Morota, Hideki Yoshida",Apr 27 1978,29.8816666,81.0408333
81,Jongsang,Jongsang Himal (on Indian-Tibetan border),7462,7,1930,"Hermann Hoerlin, Erwin Schneider",Jun 03 1930,27.8815937,88.1352391
82,Junction Peak,"Dhaulagiri Himal (on ridge joining Dhaulagiri VI, IV and Churen)",7133,4,0,Unclimbed,,28.72182,83.277179
83,Kabru Dome,Simhalila Himal (SE of Kabru in India),6600,9,1982,"Mahabir Thakur, Tshering Lobsang, K. N. Singh, Gautam Dutta, P. Bhotia, Umeshari Devi",Sep 24 1982,27.60749569,88.11035589
84,Kabru North,Simhalila Himal (S of Kabru Main on Indian border),7338,9,1935,C. R. (Reggie) Cooke,Nov 18 1935,27.619167,88.124444
85,Kagmara I,Kagmara Lekh (S of Kanjiroba Himal),5978,10,1962,"Dorothea Gravina, Denise Evans, Nancy Smith, Pat Wood, Ang Temba Sherpa, Mingma Tsering Sherpa, Pemba Norbu Sherpa",May 23 1962,29.138889,82.761111
86,Kande Hiunchuli North  I,Kanjiroba Himal (NW of Kanjiroba),6521,10,0,Unclimbed,,29.411871,82.558904
87,Kande Hiunchuli North  II,Kanjiroba Himal (NW of Kanjiroba),6471,10,1980,"Daniel Chevallier, Pierre Galland",May 03 1980,,
88,Kangbachen,Kangchenjunga Himal (W Spur of Kangchenjunga),7902,9,1974,"Wojciech Branski, Wieslaw Klaput, Marek Malatynski, Kazimierz Olech, Zbigniew Rubinowski",May 26 1974,27.7166,88.1105
89,Kangchenjunga Central,Kangchenjunga Himal (between Main and South summits),8473,9,1978,"Wojciech Branski, Zygmunt Heinrich, Kazimierz Olech",May 22 1978,27.7025,88.156944
90,Kande Hiunchuli,Kanjiroba Himal (WNW of Kanjiroba),6627,10,1972,"Toyokazu Hirota, Shigeru Kuwahata",Oct 18 1972,29.411871,82.558904
91,Kangchenjunga,Kangchenjunga Himal,8586,9,1955,"George Band, Joe Brown",May 25 1955,27.709722,88.155556
92,Kangchenjunga South,Kangchenjunga Himal,8476,9,1978,"Eugeniusz Chrobak, Wojciech Wroz",May 19 1978,27.691944,88.156944
93,Karyolung,Rolwaling Himal (SE of Numbur),6530,19,1982,"Yoshiyuki Inoue, Masatoshi Iwasa, Hiroshi Nishie, Yogendra Thapa, Gita Bdr Joshi, Babu Ram Pun, Gore Tamang, Pemba Tshering Sherpa",Oct 31 1982,27.7350085,86.610766
94,Kangchung Nup,Khumbu Himal (NE of Gokyo Lake),6043,12,1953,"Edmund Hillary, Wilfred Noyce, Charles Wylie",Apr 04 1953,,
95,Naya Kanga,Jugal Himal (W of Ganchempo by Kangja La),5863,8,0,1st ascent unknown,,28.15,85.59722
96,Kang Guru,Peri Himal (SW of Himlung Himal),6981,18,1955,"Heinz Steinmetz, Fritz Lobbichler, Juergen Wellenkamp",Jul 02 1955,28.6575,84.301389
97,Khatang,Rolwaling Himal (E of Numbur),6790,19,1982,"Tatsumi Kawamura, Yoshimi Kitayama, Dorje Sherpa",Oct 30 1982,27.757836,86.595671
98,Khongma Tse,Khumbu Himal (SW of Nuptse),5798,12,0,1st ascent unknown,,27.944034,86.838729
99,Kanjeralwa,Kanjiroba Himal (NW of Phoksumdo Tal),6612,10,1973,"Yasuaki Goshima, Koichi Kyogoku, Mingma Tensing Sherpa, Mingma Tsering Sherpa",Apr 22 1973,29.2325,82.8741666
100,Kanjiroba North,Kanjiroba Himal,6858,10,0,Unclimbed,,29.3758333,82.6375
101,Kanjiroba South,Kanjiroba Himal,6883,10,1970,"Hiroshi Okuda, Ichiryo Sato, Munehiro Sawada",Nov 07 1970,29.3758333,82.6375
102,Kotang,Simhalila Himal (SSW of Rothang on Indian border),6148,9,1982,"K. V. Cherian, Nima Tashi Sherpa, Ang Norbu, Ki Kami Sherpa",Oct 11 1982,27.564247,88.080535
103,Kangtega,Khumbu Himal (SW of Ama Dablam),6783,12,1963,"David Dornan, Tom Frost, Michael Gill, Jim Wilson",Jun 05 1963,27.7995451,86.8075976
104,Kangtsune,"Kagmara Lekh (SE of Kanjiroba, W of Kanjeralwa)",6444,10,0,Unclimbed,,,
105,Kusum Kanguru,Khumbu Himal (NE of Lukla village),6370,12,1981,Bill Denz,Oct 07 1981,27.730556,86.790833
106,Kwangde,Rolwaling Himal (W of Namche Bazar),6186,19,1978,"Takashi Iwahashi, Yoshihisa Ishikawa, Seiji Ogawa",Nov 11 1978,27.8,86.616667
107,Lamjung Himal,Annapurna Himal (SE of Annapurna II),6983,1,1974,"Derrick Chamberlain, Phillip Neame",Apr 25 1974,28.4894444,84.1891667
108,Langtang Lirung,Langtang Himal,7227,13,1978,"Seishi Wada, Pemba Tsering Sherpa",Oct 24 1978,28.2558333,85.5175
109,Langtang Ri,Langtang Himal (NE of Langtang Lirung on Tibetan border),7205,13,1981,"Soichi Nasu, Makihiro Wakao, Noboru Yamada, Ang Rinji Sherpa",Oct 10 1981,28.3816666,85.6833333
110,Leonpo Gang,Jugal Himal (NNE of Dorje Lhakpa on Tibetan border),6979,8,1962,"Tadashi Morita, Kazunari Yasuhisa",May 03 1962,28.2025,85.817778
111,Lha Shamma,"Kagmara Lekh (S of Kanjiroba, NNW of Kagmara I)",6412,10,1962,"Josephine Scarr, Barbara Spark, Mingma Tsering Sherpa, Pemba Norbu Sherpa",May 14 1962,29.22583,82.74722
112,Lhotse,Khumbu Himal,8516,12,1956,"Fritz Luchsinger, Ernst Reiss",May 18 1956,27.9626373,86.933615
113,Mukut Himal,"Mukut Himal (N of Sita Chuchura, S of Hongde)",6087,16,1967,"Alfons J. Driessen, Michiel van Mourik Broekman",Sep 1967,28.84333,83.4975
114,Langpo,Jongsang Himal (SE of Jongsang on Indian border),6965,7,1909,A. M. Kellas,Sep 14 1909,27.85333,88.1975
115,Lobuje East,Khumbu Himal (SW of Pumori),6090,12,1984,"Larry Nielson, Any Gyaltsen Sherpa",Apr 25 1984,27.9595,86.789944
116,Lobuje West,Khumbu Himal (SW of Pumori),6135,12,1984,"Yuji Kawakura, Yoshihiro Taguchi",Sep 28 1984,27.9595,86.789944
117,Lhotse Shar,Khumbu Himal (ESE of Lhotse and Lhotse Middle),8382,12,1970,"Josef Mayerl, Rolf Walter",May 12 1970,27.95,86.95
118,Langshisa Ri,Jugal Himal (NW of Dorje Lhakpa),6412,8,1982,"Takuya Kajimoto, Pasang Norbu Sherpa",Apr 23 1982,28.2169,85.7136
119,Machhapuchhare,Annapurna Himal (SE of Annapurna III),6993,1,0,Unclimbed,,28.504374,83.9470482
120,Bhairab Takura,Jugal Himal (ENE of Dorje Lhakpa on Tibetan border),6799,8,1960,"Kunitoshi Ishihara, Yukihito Kato, Pasang Phutar Sherpa (I)",May 07 1960,28.198056,85.774444
121,Makalu II,Makalu Himal (NNW of Makalu on Tibetan border),7678,14,1954,"Jean Franco, Lionel Terray, Gyaltsen Norbu Sherpa, Pa Norbu Sherpa",Oct 22 1954,27.9333333,87.0666667
122,Makalu,Makalu Himal,8485,14,1955,"Jean Couzy, Lionel Terray",May 15 1955,27.8860217,87.0911891
123,Manaslu,Manaslu Himal,8163,15,1956,"Toshio Imanishi, Gyaltsen Norbu Sherpa",May 09 1956,28.5497107,84.5596768
124,Manaslu North,Manaslu Himal (N of Manaslu),6994,15,1964,"Alfons Driessen, Jan De Lint, Hubert Schriebl, Ila Tshering Sherpa, Nima Tenzing Sherpa",Oct 25 1964,28.5497107,84.5596768
125,Manapathi,Dhaulagiri Himal (SSW of Dhaulagiri I),6380,4,1956,"Emiliano Huerta, Ayiwa Sherpa",Apr 25 1956,28.64667,83.45111
126,Mardi Himal,Annapurna Himal (SW of Machhapuchhare),5553,1,1962,"J. O. M. Roberts, Ang Tshering Sherpa, Tenzing Nindra Sherpa",Apr 23 1962,28.4857285,83.9373754
127,Mera Peak,Khumbu Himal (S of Ama Dablam),6470,12,1953,"J. O. M. Roberts, Sen Tenzing Sherpa",May 1953,27.7090249,86.8677807
128,Mingbo Ri,Khumbu Himal (S of Ama Dablam and Mingbo La),6207,12,0,Unclimbed,,27.84472,86.82167
129,Nalakankar North,Nalakankar Himal (on W Nepal/Tibetan border),6062,17,2000,"Takehiko Yanagihara, Ang Phurba Sherpa",Jul 06 2000,30.3575,81.39944
130,Nampa,Api Himal (E of Api),6729,2,1972,"Fukutoshi Kimura, Susumu Takahashi",May 05 1972,30.00444,80.994522
131,Nupchu,Ohmi Kangri Himal (NW of Kangchenjunga),6172,6,1962,"Takayuki Tsubaki, Chotare Sherpa",May 20 1962,27.8153083,87.914683
132,Nemjung,Peri Himal (S of Himlung Himal and Himjung),7140,18,1983,"Makito Minami, Wataru Saito, Ken Takahashi, Kirki Lama",Oct 27 1983,28.7366666,84.4175
133,Nepal Peak,Jongsang Himal (N of Kangchenjunga on Indian border),7177,7,1930,Erwin Schneider,May 24 1930,27.776802,88.182927
134,Ngojumba Kang II,Khumbu Himal (NE of Cho Oyu on Tibetan border),7743,12,1965,"Naomi Uemura, Pemba Tenzing Sherpa",Apr 24 1965,28.106,86.706
135,Ngojumba Kang I,Khumbu Himal (NE of Cho Oyu on Tibetan border),7916,12,1982,"Kim Young-Han, Ang Tshering Sherpa, Dorje Sherpa",Nov 02 1982,28.105875,86.684203
136,Nilgiri Central,Annapurna-Nilgiri Himal (NW of Annapurna I),6940,1,1979,"Kohichi Sakata, Yasuo Tsuda",Apr 30 1979,28.678154,83.735729
137,Nilgiri North,Annapurna-Nilgiri Himal (NW of Annapurna I),7061,1,1962,"Lionel Terray, H. G. Van Lookern Campagne, P. Van Lookern Campagne, P. F. J. Van Lookern Campagne, Wangdi Sherpa",Oct 19 1962,28.69,83.745
138,Nilgiri South,Annapurna-Nilgiri Himal (NW of Annapurna I),6839,1,1978,"Kazuo Mitsui, Taichi Fujimatsu, Yoshiaki Kato, Nobuhito Morota, Seiji Tanaka, Hideki Yoshida",Oct 10 1978,28.654845,83.729893
139,Numbur,Rolwaling Himal (SW of Namche Bazar),6958,19,1963,"Hiroshi Matsuo, Mingma Tsering Sherpa",May 29 1963,27.7541666,86.5724999
140,Nuptse,Khumbu Himal (SW of Everest),7864,12,1961,"Dennis Davis, Tashi Sherpa",May 16 1961,27.9672192,86.8855391
141,Ohmi Kangri,Ohmi Kangri Himal (NW of Kangchenjunga on Tibetan border),6839,6,1985,"Andre Rieder, Alain Vaucher",Apr 14 1985,27.896905,87.964158
142,Ombak Himal,Ohmi Kangri Himal (NE of Ombak La in Tibet),6300,6,0,Unclimbed?,,,
143,Paldor,Ganesh Himal (SE of  Ganesh V),5903,5,1949,"H. W. Tilman, Peter Lloyd, Tenzing Sherpa, Da Namgyal Sherpa",,28.2769444,85.1838889
144,Pangbuk Ri,Rolwaling Himal (N of Menlung La on Tibetan border),6625,19,2011,"David Gottlieb, Chad Kellogg",Nov 11 2011,28.006,86.52
145,Parchamo,Rolwaling Himal (S of Tesi Laptsa),6279,19,1955,"Peter Boultbee, Denis Davis",Apr 1955,27.8375,86.54722
146,Patrasi Himal,Kanjiroba Himal (NE of Kande Huinchuli),6450,10,0,Unclimbed,,29.411871,82.558904
147,Pethangtse,Khumbu Himal (NW of Makalu on Tibetan border),6739,12,1954,"Michael Ball, Norman Hardie, Brian Wilkins, Urkien Sherpa",May 26 1954,27.957424,87.015253
148,Phurbi Chhyachu,Jugal Himal (SE of Dorje Lhakpa on Tibetan border),6637,8,1982,"Shintaro Kurokawa, Fumihito Ogawa, Hiromitsu Okamoto, Takashi Shingaki, Hajime Takigami, Ang Phuri Lama, Pemba Lama Sherpa",May 01 1982,28.132269,85.869166
149,Pimu,Rolwaling Himal (N of Tesi Laptsa),6344,19,1955,"Peter Boultbee, Dennis Davis",Apr 1955,27.89694,86.55444
150,Pisang,Damodar Himal (N of Marysangdi Valley),6091,3,1955,Juergen Wellenkamp,Jun 10 1955,28.5936253,84.1435136
151,Peak 29,Manaslu Himal (S of Manaslu),7871,15,1979,"Ryszard Gajewski, Maciej Pawlikowski",May 08 1979,28.503333,84.5675
152,Pointed Peak,"Khumbu Himal (N of Cholatse, S of Tshola La)",5850,12,1953,"Wilfred Noyce, Michael Ward, Charles Wylie",Apr 01 1953,,
153,Pokalde,Khumbu Himal (N of Ama Dablam),5780,12,1953,"Tom Bourdillon, Wilfred Noyce, Michael Ward",Apr 15 1953,27.925,86.833333
154,Ombigaichen,Khumbu Himal (SE of Ama Dablam),6340,12,1960,"Jim Milledge, Ang Tsering Sherpa",Nov 18 1960,27.852816,86.883436
155,Pumori,Khumbu Himal (WNW of Everest on Tibetan border),7138,12,1962,"Gerhard Lenser, Ernst Farrer, Ueli Huerlemann, Hans Ruetzel",May 17 1962,28.0089896,86.8253374
156,Putha Hiunchuli,Dhaulagiri Himal (W of Churen Himal),7246,4,1954,"J. O. M. Roberts, Ang Nyima Sherpa",Nov 11 1954,28.7475,83.1458333
